venue,team,win_odds,point_spread,season_round,full_date
Cazaly's Stadium,Richmond,1.17,-37.5,Round 16,2012-07-14
Cazaly's Stadium,Gold Coast,5.15,+37.5,Round 16,2012-07-14
Gabba,Brisbane,2.45,+9.5,Round 16,2012-07-14
Gabba,St Kilda,1.57,-9.5,Round 16,2012-07-14
MCG,Geelong,2.75,+12.5,Round 16,2012-07-14
MCG,Collingwood,1.48,-12.5,Round 16,2012-07-14
Spotless Stadium,GWS,17.00,+70.5,Round 16,2012-07-15
Spotless Stadium,Adelaide,1.02,-70.5,Round 16,2012-07-15
Domain Stadium,West Coast,1.72,-5.5,Round 16,2012-07-15
Domain Stadium,Sydney,2.18,+5.5,Round 16,2012-07-15
Etihad Stadium,Western Bulldogs,10.00,+49.5,Round 16,2012-07-15
Etihad Stadium,Hawthorn,1.06,-49.5,Round 16,2012-07-15
Etihad Stadium,Geelong,2.05,+3.5,Round 17,2012-07-20
Etihad Stadium,Essendon,1.80,-3.5,Round 17,2012-07-20
AAMI Stadium,Adelaide,1.42,-16.5,Round 17,2012-07-21
AAMI Stadium,West Coast,2.95,+16.5,Round 17,2012-07-21
MCG,Collingwood,1.87,-2.5,Round 17,2012-07-21
MCG,Hawthorn,2.00,+2.5,Round 17,2012-07-21
Gabba,Gold Coast,3.80,+26.5,Round 17,2012-07-21
Gabba,Brisbane,1.28,-26.5,Round 17,2012-07-21
TIO Stadium,Melbourne,2.25,+7.5,Round 17,2012-07-21
TIO Stadium,Port Adelaide,1.67,-7.5,Round 17,2012-07-21
Etihad Stadium,Western Bulldogs,2.40,+9.5,Round 17,2012-07-21
Etihad Stadium,Carlton,1.60,-9.5,Round 17,2012-07-21
SCG,Sydney,1.35,-18.5,Round 17,2012-07-22
SCG,St Kilda,3.30,+18.5,Round 17,2012-07-22
Domain Stadium,Fremantle,1.01,-94.5,Round 17,2012-07-22
Domain Stadium,GWS,26.00,+94.5,Round 17,2012-07-22
MCG,Richmond,2.05,+3.5,Round 17,2012-07-22
MCG,North Melbourne,1.80,-3.5,Round 17,2012-07-22
Etihad Stadium,Essendon,6.00,+36.5,Round 18,2012-07-27
Etihad Stadium,Hawthorn,1.14,-36.5,Round 18,2012-07-27
GMHBA Stadium,Geelong,1.62,-8.5,Round 18,2012-07-28
GMHBA Stadium,Adelaide,2.35,+8.5,Round 18,2012-07-28
Etihad Stadium,North Melbourne,1.09,-44.5,Round 18,2012-07-28
Etihad Stadium,Melbourne,8.00,+44.5,Round 18,2012-07-28
Spotless Stadium,GWS,26.00,+85.5,Round 18,2012-07-28
Spotless Stadium,Collingwood,1.01,-85.5,Round 18,2012-07-28
MCG,Carlton,2.60,+12.5,Round 18,2012-07-28
MCG,Richmond,1.52,-12.5,Round 18,2012-07-28
Metricon Stadium,Gold Coast,11.00,+50.5,Round 18,2012-07-28
Metricon Stadium,Sydney,1.05,-50.5,Round 18,2012-07-28
AAMI Stadium,Port Adelaide,2.75,+12.5,Round 18,2012-07-29
AAMI Stadium,Fremantle,1.47,-12.5,Round 18,2012-07-29
Domain Stadium,West Coast,1.14,-37.5,Round 18,2012-07-29
Domain Stadium,Brisbane,6.00,+37.5,Round 18,2012-07-29
Etihad Stadium,St Kilda,1.14,-36.5,Round 18,2012-07-29
Etihad Stadium,Western Bulldogs,6.00,+36.5,Round 18,2012-07-29
MCG,Hawthorn,1.28,-26.5,Round 19,2012-08-03
MCG,Geelong,3.80,+26.5,Round 19,2012-08-03
Etihad Stadium,Western Bulldogs,9.50,+50.5,Round 19,2012-08-04
Etihad Stadium,North Melbourne,1.07,-50.5,Round 19,2012-08-04
Spotless Stadium,GWS,6.25,+45.5,Round 19,2012-08-04
Spotless Stadium,Port Adelaide,1.13,-45.5,Round 19,2012-08-04
Domain Stadium,Fremantle,2.65,+15.5,Round 19,2012-08-04
Domain Stadium,West Coast,1.50,-15.5,Round 19,2012-08-04
MCG,Collingwood,1.38,-17.5,Round 19,2012-08-04
MCG,St Kilda,3.15,+17.5,Round 19,2012-08-04
Gabba,Brisbane,2.30,+7.5,Round 19,2012-08-04
Gabba,Richmond,1.65,-7.5,Round 19,2012-08-04
MCG,Melbourne,1.33,-21.5,Round 19,2012-08-05
MCG,Gold Coast,3.40,+21.5,Round 19,2012-08-05
Etihad Stadium,Carlton,3.05,+16.5,Round 19,2012-08-05
Etihad Stadium,Sydney,1.40,-16.5,Round 19,2012-08-05
AAMI Stadium,Adelaide,1.12,-38.5,Round 19,2012-08-05
AAMI Stadium,Essendon,6.40,+38.5,Round 19,2012-08-05
Domain Stadium,West Coast,1.70,-6.5,Round 20,2012-08-10
Domain Stadium,Geelong,2.22,+6.5,Round 20,2012-08-10
AAMI Stadium,Adelaide,1.38,-18.5,Round 20,2012-08-11
AAMI Stadium,Fremantle,3.15,+18.5,Round 20,2012-08-11
MCG,St Kilda,1.05,-50.5,Round 20,2012-08-11
MCG,Melbourne,11.00,+50.5,Round 20,2012-08-11
Metricon Stadium,Gold Coast,1.38,-20.5,Round 20,2012-08-11
Metricon Stadium,GWS,3.15,+20.5,Round 20,2012-08-11
ANZ Stadium,Sydney,1.60,-10.5,Round 20,2012-08-11
ANZ Stadium,Collingwood,2.40,+10.5,Round 20,2012-08-11
Etihad Stadium,Carlton,1.19,-32.5,Round 20,2012-08-11
Etihad Stadium,Brisbane,5.00,+32.5,Round 20,2012-08-11
Aurora Stadium,Hawthorn,1.02,-75.5,Round 20,2012-08-12
Aurora Stadium,Port Adelaide,16.00,+75.5,Round 20,2012-08-12
MCG,Richmond,1.14,-39.5,Round 20,2012-08-12
MCG,Western Bulldogs,6.00,+39.5,Round 20,2012-08-12
Etihad Stadium,Essendon,2.20,+6.5,Round 20,2012-08-12
Etihad Stadium,North Melbourne,1.70,-6.5,Round 20,2012-08-12
Etihad Stadium,Geelong,1.30,-18.5,Round 21,2012-08-17
Etihad Stadium,St Kilda,3.70,+18.5,Round 21,2012-08-17
MCG,Essendon,2.05,+3.5,Round 21,2012-08-18
MCG,Carlton,1.80,-3.5,Round 21,2012-08-18
Manuka Oval,GWS,5.00,+34.5,Round 21,2012-08-18
Manuka Oval,Melbourne,1.18,-34.5,Round 21,2012-08-18
Domain Stadium,Fremantle,1.37,-16.5,Round 21,2012-08-18
Domain Stadium,Richmond,3.15,+16.5,Round 21,2012-08-18
Etihad Stadium,Collingwood,1.28,-21.5,Round 21,2012-08-18
Etihad Stadium,North Melbourne,3.80,+21.5,Round 21,2012-08-18
Gabba,Brisbane,4.80,+29.5,Round 21,2012-08-18
Gabba,Adelaide,1.20,-29.5,Round 21,2012-08-18
AAMI Stadium,Port Adelaide,6.40,+37.5,Round 21,2012-08-19
AAMI Stadium,West Coast,1.13,-37.5,Round 21,2012-08-19
Etihad Stadium,Western Bulldogs,10.00,+47.5,Round 21,2012-08-19
Etihad Stadium,Sydney,1.06,-47.5,Round 21,2012-08-19
MCG,Hawthorn,1.01,-100.5,Round 21,2012-08-19
MCG,Gold Coast,26.00,+100.5,Round 21,2012-08-19
MCG,Richmond,1.62,-9.5,Round 22,2012-08-24
MCG,Essendon,2.40,+9.5,Round 22,2012-08-24
AAMI Stadium,Port Adelaide,2.35,+8.5,Round 22,2012-08-25
AAMI Stadium,Brisbane,1.62,-8.5,Round 22,2012-08-25
Etihad Stadium,St Kilda,1.02,-80.5,Round 22,2012-08-25
Etihad Stadium,GWS,15.00,+80.5,Round 22,2012-08-25
SCG,Sydney,2.00,+2.5,Round 22,2012-08-25
SCG,Hawthorn,1.85,-2.5,Round 22,2012-08-25
Domain Stadium,West Coast,1.68,-5.5,Round 22,2012-08-25
Domain Stadium,Collingwood,2.22,+5.5,Round 22,2012-08-25
Metricon Stadium,Gold Coast,15.00,+68.5,Round 22,2012-08-25
Metricon Stadium,Carlton,1.02,-68.5,Round 22,2012-08-25
GMHBA Stadium,Geelong,1.02,-70.5,Round 22,2012-08-26
GMHBA Stadium,Western Bulldogs,15.00,+70.5,Round 22,2012-08-26
Etihad Stadium,North Melbourne,1.25,-25.5,Round 22,2012-08-26
Etihad Stadium,Fremantle,4.05,+25.5,Round 22,2012-08-26
MCG,Melbourne,6.75,+38.5,Round 22,2012-08-26
MCG,Adelaide,1.11,-38.5,Round 22,2012-08-26
MCG,Hawthorn,1.24,-27.5,Round 23,2012-08-31
MCG,West Coast,4.25,+27.5,Round 23,2012-08-31
AAMI Stadium,Adelaide,1.01,-66.5,Round 23,2012-09-01
AAMI Stadium,Gold Coast,21.00,+66.5,Round 23,2012-09-01
GMHBA Stadium,Geelong,1.62,-8.5,Round 23,2012-09-01
GMHBA Stadium,Sydney,2.35,+8.5,Round 23,2012-09-01
Spotless Stadium,GWS,21.00,+82.5,Round 23,2012-09-01
Spotless Stadium,North Melbourne,1.01,-82.5,Round 23,2012-09-01
Domain Stadium,Fremantle,1.06,-50.5,Round 23,2012-09-01
Domain Stadium,Melbourne,10.00,+50.5,Round 23,2012-09-01
MCG,Essendon,5.75,+38.5,Round 23,2012-09-01
MCG,Collingwood,1.15,-38.5,Round 23,2012-09-01
Etihad Stadium,Carlton,1.87,-5.5,Round 23,2012-09-02
Etihad Stadium,St Kilda,1.97,-3.5,Round 23,2012-09-02
MCG,Richmond,1.08,-46.5,Round 23,2012-09-02
MCG,Port Adelaide,8.50,+46.5,Round 23,2012-09-02
Gabba,Brisbane,1.17,-34.5,Round 23,2012-09-02
Gabba,Western Bulldogs,5.30,+34.5,Round 23,2012-09-02
MCG,Hawthorn,1.30,-22.5,2012 Final,2012-09-07
MCG,Collingwood,3.60,+22.5,2012 Final,2012-09-07
AAMI Stadium,Adelaide,1.58,-9.5,2012 Final,2012-09-08
AAMI Stadium,Sydney,2.45,+9.5,2012 Final,2012-09-08
MCG,Geelong,1.28,-22.5,2012 Final,2012-09-08
MCG,Fremantle,3.85,+22.5,2012 Final,2012-09-08
Domain Stadium,West Coast,1.19,-29.5,2012 Final,2012-09-09
Domain Stadium,North Melbourne,5.00,+29.5,2012 Final,2012-09-09
AAMI Stadium,Adelaide,1.65,-9.5,2012 Final,2012-09-14
AAMI Stadium,Fremantle,2.28,+9.5,2012 Final,2012-09-14
MCG,Collingwood,1.96,-2.5,2012 Final,2012-09-15
MCG,West Coast,1.88,-4.5,2012 Final,2012-09-15
ANZ Stadium,Sydney,1.48,-10.5,2012 Final,2012-09-21
ANZ Stadium,Collingwood,2.70,+10.5,2012 Final,2012-09-21
MCG,Hawthorn,1.16,-37.5,2012 Final,2012-09-22
MCG,Adelaide,5.75,+37.5,2012 Final,2012-09-22
MCG,Hawthorn,1.55,-11.5,Grand Final,2012-09-29
MCG,Sydney,2.55,+11.5,Grand Final,2012-09-29
MCG,Carlton,1.36,-19.5,Round 1,2011-03-24
MCG,Richmond,3.45,+19.5,Round 1,2011-03-24
MCG,Geelong,2.24,+6.5,Round 1,2011-03-25
MCG,St Kilda,1.72,-6.5,Round 1,2011-03-25
Etihad Stadium,Collingwood,1.07,-46.5,Round 1,2011-03-26
Etihad Stadium,Port Adelaide,11.00,+46.5,Round 1,2011-03-26
AAMI Stadium,Adelaide,1.96,+0,Round 1,2011-03-26
AAMI Stadium,Hawthorn,1.94,+0,Round 1,2011-03-26
Gabba,Brisbane,2.00,+0,Round 1,2011-03-26
Gabba,Fremantle,1.90,+0,Round 1,2011-03-26
Etihad Stadium,Essendon,2.40,+9.5,Round 1,2011-03-27
Etihad Stadium,Western Bulldogs,1.64,-9.5,Round 1,2011-03-27
MCG,Melbourne,1.82,-3.5,Round 1,2011-03-27
MCG,Sydney,2.10,+3.5,Round 1,2011-03-27
Domain Stadium,West Coast,1.65,-7.5,Round 1,2011-03-27
Domain Stadium,North Melbourne,2.38,+7.5,Round 1,2011-03-27
MCG,St Kilda,1.25,-25.5,Round 2,2011-04-01
MCG,Richmond,4.00,+25.5,Round 2,2011-04-01
Etihad Stadium,North Melbourne,6.70,+38.5,Round 2,2011-04-02
Etihad Stadium,Collingwood,1.11,-38.5,Round 2,2011-04-02
AAMI Stadium,Port Adelaide,1.45,-15.5,Round 2,2011-04-02
AAMI Stadium,West Coast,2.85,+15.5,Round 2,2011-04-02
Domain Stadium,Fremantle,1.70,-6.5,Round 2,2011-04-02
Domain Stadium,Geelong,2.21,+6.5,Round 2,2011-04-02
Gabba,Gold Coast,3.95,+27.5,Round 2,2011-04-02
Gabba,Carlton,1.27,-27.5,Round 2,2011-04-02
Etihad Stadium,Western Bulldogs,1.12,-38.5,Round 2,2011-04-03
Etihad Stadium,Brisbane,6.35,+38.5,Round 2,2011-04-03
ANZ Stadium,Sydney,1.80,-3.5,Round 2,2011-04-03
ANZ Stadium,Essendon,2.02,+3.5,Round 2,2011-04-03
MCG,Hawthorn,1.41,-16.5,Round 2,2011-04-03
MCG,Melbourne,2.93,+16.5,Round 2,2011-04-03
MCG,Collingwood,1.25,-25.5,Round 3,2011-04-08
MCG,Carlton,4.15,+25.5,Round 3,2011-04-08
Etihad Stadium,Western Bulldogs,1.01,-70.5,Round 3,2011-04-09
Etihad Stadium,Gold Coast,16.00,+70.5,Round 3,2011-04-09
AAMI Stadium,Adelaide,1.49,-13.5,Round 3,2011-04-09
AAMI Stadium,Fremantle,2.63,+13.5,Round 3,2011-04-09
Domain Stadium,West Coast,1.94,+0,Round 3,2011-04-09
Domain Stadium,Sydney,1.90,+0,Round 3,2011-04-09
MCG,Richmond,3.75,+23.5,Round 3,2011-04-09
MCG,Hawthorn,1.29,-23.5,Round 3,2011-04-09
MCG,Melbourne,1.19,-31.5,Round 3,2011-04-10
MCG,Brisbane,4.75,+31.5,Round 3,2011-04-10
GMHBA Stadium,Geelong,1.08,-45.5,Round 3,2011-04-10
GMHBA Stadium,Port Adelaide,8.00,+45.5,Round 3,2011-04-10
Etihad Stadium,St Kilda,1.82,-2.5,Round 3,2011-04-10
Etihad Stadium,Essendon,2.00,+2.5,Round 3,2011-04-10
MCG,Richmond,8.60,+47.5,Round 4,2011-04-15
MCG,Collingwood,1.07,-47.5,Round 4,2011-04-15
MCG,Carlton,1.89,+0,Round 4,2011-04-16
MCG,Essendon,1.93,+0,Round 4,2011-04-16
Aurora Stadium,Hawthorn,1.12,-39.5,Round 4,2011-04-16
Aurora Stadium,West Coast,6.30,+39.5,Round 4,2011-04-16
SCG,Sydney,2.09,+3.5,Round 4,2011-04-16
SCG,Geelong,1.78,-3.5,Round 4,2011-04-16
AAMI Stadium,Port Adelaide,2.95,+15.5,Round 4,2011-04-16
AAMI Stadium,Adelaide,1.42,-15.5,Round 4,2011-04-16
Gabba,Gold Coast,8.00,+45.5,Round 4,2011-04-17
Gabba,Melbourne,1.08,-45.5,Round 4,2011-04-17
Domain Stadium,Fremantle,1.17,-32.5,Round 4,2011-04-17
Domain Stadium,North Melbourne,5.10,+32.5,Round 4,2011-04-17
Gabba,Brisbane,3.55,+22.5,Round 5,2011-04-21
Gabba,St Kilda,1.30,-22.5,Round 5,2011-04-21
AAMI Stadium,Port Adelaide,1.03,-64.5,Round 5,2011-04-23
AAMI Stadium,Gold Coast,14.40,+64.5,Round 5,2011-04-23
Etihad Stadium,Carlton,1.27,-25.5,Round 5,2011-04-23
Etihad Stadium,Adelaide,3.95,+25.5,Round 5,2011-04-23
Etihad Stadium,North Melbourne,1.88,-1.5,Round 5,2011-04-24
Etihad Stadium,Richmond,1.93,+1.5,Round 5,2011-04-24
MCG,Essendon,4.30,+27.5,Round 5,2011-04-25
MCG,Collingwood,1.22,-27.5,Round 5,2011-04-25
Domain Stadium,Fremantle,1.65,-8.5,Round 5,2011-04-25
Domain Stadium,Western Bulldogs,2.30,+8.5,Round 5,2011-04-25
MCG,Hawthorn,2.02,+3.5,Round 5,2011-04-26
MCG,Geelong,1.80,-3.5,Round 5,2011-04-26
Domain Stadium,West Coast,1.49,-11.5,Round 6,2011-04-28
Domain Stadium,Melbourne,2.70,+11.5,Round 6,2011-04-28
SCG,Sydney,1.76,-4.5,Round 6,2011-04-29
SCG,Carlton,2.07,+4.5,Round 6,2011-04-29
Etihad Stadium,North Melbourne,1.44,-16.5,Round 6,2011-04-30
Etihad Stadium,Port Adelaide,2.80,+16.5,Round 6,2011-04-30
MCG,Richmond,1.38,-17.5,Round 6,2011-04-30
MCG,Brisbane,3.17,+17.5,Round 6,2011-04-30
AAMI Stadium,Adelaide,1.77,-4.5,Round 6,2011-04-30
AAMI Stadium,St Kilda,2.10,+4.5,Round 6,2011-04-30
Etihad Stadium,Essendon,1.03,-66.5,Round 6,2011-05-01
Etihad Stadium,Gold Coast,12.50,+66.5,Round 6,2011-05-01
MCG,Collingwood,1.09,-36.5,Round 6,2011-05-01
MCG,Western Bulldogs,8.10,+36.5,Round 6,2011-05-01
AAMI Stadium,Port Adelaide,5.15,+24.5,Round 7,2011-05-06
AAMI Stadium,Hawthorn,1.18,-24.5,Round 7,2011-05-06
Manuka Oval,Western Bulldogs,1.69,-5.5,Round 7,2011-05-07
Manuka Oval,Sydney,2.18,+5.5,Round 7,2011-05-07
GMHBA Stadium,Geelong,1.06,-46.5,Round 7,2011-05-07
GMHBA Stadium,North Melbourne,9.25,+46.5,Round 7,2011-05-07
MCG,Richmond,2.21,+6.5,Round 7,2011-05-07
MCG,Fremantle,1.67,-6.5,Round 7,2011-05-07
Gabba,Gold Coast,5.85,+47.5,Round 7,2011-05-07
Gabba,Brisbane,1.15,-47.5,Round 7,2011-05-07
Etihad Stadium,Essendon,1.22,-30.5,Round 7,2011-05-08
Etihad Stadium,West Coast,4.32,+30.5,Round 7,2011-05-08
MCG,Melbourne,1.85,-2.5,Round 7,2011-05-08
MCG,Adelaide,1.96,+2.5,Round 7,2011-05-08
Etihad Stadium,St Kilda,2.77,+15.5,Round 7,2011-05-09
Etihad Stadium,Carlton,1.45,-15.5,Round 7,2011-05-09
MCG,Geelong,2.65,+13.5,Round 8,2011-05-13
MCG,Collingwood,1.49,-13.5,Round 8,2011-05-13
Etihad Stadium,North Melbourne,1.85,-1.5,Round 8,2011-05-14
Etihad Stadium,Melbourne,1.96,+1.5,Round 8,2011-05-14
AAMI Stadium,Adelaide,1.15,-38.5,Round 8,2011-05-14
AAMI Stadium,Gold Coast,5.50,+38.5,Round 8,2011-05-14
SCG,Sydney,1.13,-37.5,Round 8,2011-05-14
SCG,Port Adelaide,6.40,+37.5,Round 8,2011-05-14
Gabba,Brisbane,5.00,+28.5,Round 8,2011-05-14
Gabba,Essendon,1.19,-28.5,Round 8,2011-05-14
MCG,Hawthorn,1.43,-16.5,Round 8,2011-05-15
MCG,St Kilda,2.85,+16.5,Round 8,2011-05-15
Etihad Stadium,Western Bulldogs,1.70,-7.5,Round 8,2011-05-15
Etihad Stadium,Richmond,2.16,+7.5,Round 8,2011-05-15
Domain Stadium,West Coast,1.93,+1.5,Round 8,2011-05-15
Domain Stadium,Fremantle,1.89,-1.5,Round 8,2011-05-15
Etihad Stadium,Carlton,2.80,+15.5,Round 9,2011-05-20
Etihad Stadium,Geelong,1.44,-15.5,Round 9,2011-05-20
Etihad Stadium,St Kilda,1.38,-16.5,Round 9,2011-05-21
Etihad Stadium,Melbourne,3.05,+16.5,Round 9,2011-05-21
AAMI Stadium,Port Adelaide,2.42,+10.5,Round 9,2011-05-21
AAMI Stadium,Fremantle,1.57,-10.5,Round 9,2011-05-21
Gabba,Brisbane,1.94,+0,Round 9,2011-05-21
Gabba,North Melbourne,1.90,+0,Round 9,2011-05-21
MCG,Richmond,2.81,+15.5,Round 9,2011-05-21
MCG,Essendon,1.46,-15.5,Round 9,2011-05-21
Etihad Stadium,Collingwood,1.05,-51.5,Round 9,2011-05-22
Etihad Stadium,Adelaide,10.25,+51.5,Round 9,2011-05-22
SCG,Sydney,1.78,-3.5,Round 9,2011-05-22
SCG,Hawthorn,2.04,+3.5,Round 9,2011-05-22
Domain Stadium,West Coast,1.71,-5.5,Round 9,2011-05-22
Domain Stadium,Western Bulldogs,2.15,+5.5,Round 9,2011-05-22
MCG,Melbourne,5.15,+31.5,Round 10,2011-05-27
MCG,Carlton,1.17,-31.5,Round 10,2011-05-27
Domain Stadium,Fremantle,1.58,-9.5,Round 10,2011-05-28
Domain Stadium,St Kilda,2.39,+9.5,Round 10,2011-05-28
Etihad Stadium,North Melbourne,2.02,+3.5,Round 10,2011-05-28
Etihad Stadium,Sydney,1.80,-3.5,Round 10,2011-05-28
Metricon Stadium,Gold Coast,12.60,+63.5,Round 10,2011-05-28
Metricon Stadium,Geelong,1.04,-63.5,Round 10,2011-05-28
TIO Stadium,Richmond,1.25,-28.5,Round 10,2011-05-28
TIO Stadium,Port Adelaide,4.15,+28.5,Round 10,2011-05-28
AAMI Stadium,Adelaide,1.26,-24.5,Round 10,2011-05-29
AAMI Stadium,Brisbane,3.90,+24.5,Round 10,2011-05-29
MCG,Collingwood,1.27,-29.5,Round 10,2011-05-29
MCG,West Coast,3.80,+29.5,Round 10,2011-05-29
Etihad Stadium,Western Bulldogs,3.55,+22.5,Round 10,2011-05-29
Etihad Stadium,Hawthorn,1.30,-22.5,Round 10,2011-05-29
MCG,Essendon,1.22,-27.5,Round 11,2011-06-03
MCG,Melbourne,4.30,+27.5,Round 11,2011-06-03
Domain Stadium,West Coast,1.07,-66.5,Round 11,2011-06-04
Domain Stadium,Gold Coast,8.60,+66.5,Round 11,2011-06-04
GMHBA Stadium,Geelong,1.10,-40.5,Round 11,2011-06-04
GMHBA Stadium,Western Bulldogs,7.05,+40.5,Round 11,2011-06-04
MCG,Collingwood,1.20,-32.5,Round 11,2011-06-04
MCG,St Kilda,4.80,+32.5,Round 11,2011-06-04
Gabba,Brisbane,1.81,-3.5,Round 11,2011-06-04
Gabba,Sydney,2.05,+3.5,Round 11,2011-06-04
MCG,Hawthorn,1.18,-32.5,Round 11,2011-06-05
MCG,Fremantle,4.90,+32.5,Round 11,2011-06-05
Etihad Stadium,North Melbourne,1.65,-8.5,Round 11,2011-06-05
Etihad Stadium,Adelaide,2.25,+8.5,Round 11,2011-06-05
AAMI Stadium,Port Adelaide,4.45,+27.5,Round 11,2011-06-05
AAMI Stadium,Carlton,1.21,-27.5,Round 11,2011-06-05
Etihad Stadium,St Kilda,1.52,-11.5,Round 12,2011-06-10
Etihad Stadium,Western Bulldogs,2.55,+11.5,Round 12,2011-06-10
AAMI Stadium,Adelaide,2.23,+7.5,Round 12,2011-06-11
AAMI Stadium,West Coast,1.66,-7.5,Round 12,2011-06-11
MCG,Geelong,1.46,-14.5,Round 12,2011-06-11
MCG,Hawthorn,2.81,+14.5,Round 12,2011-06-11
Metricon Stadium,Gold Coast,3.30,+21.5,Round 12,2011-06-11
Metricon Stadium,North Melbourne,1.35,-21.5,Round 12,2011-06-11
Etihad Stadium,Carlton,1.05,-48.5,Round 12,2011-06-12
Etihad Stadium,Brisbane,10.25,+48.5,Round 12,2011-06-12
SCG,Sydney,1.26,-22.5,Round 12,2011-06-12
SCG,Richmond,3.90,+22.5,Round 12,2011-06-12
Domain Stadium,Fremantle,1.78,-3.5,Round 12,2011-06-12
Domain Stadium,Essendon,2.04,+3.5,Round 12,2011-06-12
MCG,Melbourne,4.60,+29.5,Round 12,2011-06-13
MCG,Collingwood,1.20,-29.5,Round 12,2011-06-13
Etihad Stadium,Western Bulldogs,1.23,-27.5,Round 13,2011-06-17
Etihad Stadium,Adelaide,4.20,+27.5,Round 13,2011-06-17
Etihad Stadium,Essendon,1.62,-8.5,Round 13,2011-06-18
Etihad Stadium,North Melbourne,2.31,+8.5,Round 13,2011-06-18
Aurora Stadium,Hawthorn,1.03,-67.5,Round 13,2011-06-18
Aurora Stadium,Gold Coast,12.60,+67.5,Round 13,2011-06-18
Gabba,Brisbane,2.23,+5.5,Round 13,2011-06-18
Gabba,Richmond,1.69,-5.5,Round 13,2011-06-18
MCG,St Kilda,3.75,+21.5,Round 13,2011-06-18
MCG,Geelong,1.29,-21.5,Round 13,2011-06-18
MCG,Melbourne,1.80,-3.5,Round 13,2011-06-19
MCG,Fremantle,2.02,+3.5,Round 13,2011-06-19
Etihad Stadium,Carlton,1.26,-23.5,Round 13,2011-06-19
Etihad Stadium,Sydney,3.90,+23.5,Round 13,2011-06-19
Domain Stadium,West Coast,1.06,-48.5,Round 13,2011-06-19
Domain Stadium,Port Adelaide,9.30,+48.5,Round 13,2011-06-19
MCG,Hawthorn,1.60,-10.5,Round 14,2011-06-24
MCG,Essendon,2.35,+10.5,Round 14,2011-06-24
MCG,Richmond,1.95,+0,Round 14,2011-06-25
MCG,Melbourne,1.89,+0,Round 14,2011-06-25
Metricon Stadium,Gold Coast,5.50,+35.5,Round 14,2011-06-25
Metricon Stadium,Western Bulldogs,1.15,-35.5,Round 14,2011-06-25
Domain Stadium,Fremantle,1.15,-33.5,Round 14,2011-06-25
Domain Stadium,Brisbane,5.85,+33.5,Round 14,2011-06-25
ANZ Stadium,Sydney,5.85,+34.5,Round 14,2011-06-25
ANZ Stadium,Collingwood,1.15,-34.5,Round 14,2011-06-25
GMHBA Stadium,Geelong,1.06,-47.5,Round 14,2011-06-26
GMHBA Stadium,Adelaide,9.30,+47.5,Round 14,2011-06-26
Etihad Stadium,Carlton,1.23,-27.5,Round 14,2011-06-26
Etihad Stadium,West Coast,4.20,+27.5,Round 14,2011-06-26
AAMI Stadium,Port Adelaide,2.62,+13.5,Round 14,2011-06-26
AAMI Stadium,North Melbourne,1.49,-13.5,Round 14,2011-06-26
Etihad Stadium,Western Bulldogs,2.03,+3.5,Round 15,2011-07-01
Etihad Stadium,Melbourne,1.79,-3.5,Round 15,2011-07-01
Domain Stadium,Fremantle,1.12,-39.5,Round 15,2011-07-02
Domain Stadium,Gold Coast,6.35,+39.5,Round 15,2011-07-02
MCG,Richmond,4.00,+24.5,Round 15,2011-07-02
MCG,Carlton,1.25,-24.5,Round 15,2011-07-02
AAMI Stadium,Adelaide,2.95,+15.5,Round 15,2011-07-02
AAMI Stadium,Sydney,1.42,-15.5,Round 15,2011-07-02
Etihad Stadium,Essendon,8.15,+43.5,Round 15,2011-07-02
Etihad Stadium,Geelong,1.09,-43.5,Round 15,2011-07-02
Gabba,Brisbane,1.40,-17.5,Round 15,2011-07-03
Gabba,Port Adelaide,2.95,+17.5,Round 15,2011-07-03
MCG,Collingwood,1.31,-22.5,Round 15,2011-07-03
MCG,Hawthorn,3.45,+22.5,Round 15,2011-07-03
Etihad Stadium,North Melbourne,2.02,+2.5,Round 15,2011-07-03
Etihad Stadium,St Kilda,1.80,-2.5,Round 15,2011-07-03
Domain Stadium,West Coast,2.45,+8.5,Round 16,2011-07-08
Domain Stadium,Geelong,1.58,-8.5,Round 16,2011-07-08
Aurora Stadium,Hawthorn,1.10,-39.5,Round 16,2011-07-09
Aurora Stadium,Brisbane,7.05,+39.5,Round 16,2011-07-09
Metricon Stadium,Gold Coast,5.85,+36.5,Round 16,2011-07-09
Metricon Stadium,Sydney,1.15,-36.5,Round 16,2011-07-09
MCG,Essendon,1.51,-11.5,Round 16,2011-07-09
MCG,Richmond,2.64,+11.5,Round 16,2011-07-09
MCG,Collingwood,1.08,-44.5,Round 16,2011-07-10
MCG,North Melbourne,8.00,+44.5,Round 16,2011-07-10
AAMI Stadium,Port Adelaide,3.80,+22.5,Round 16,2011-07-10
AAMI Stadium,St Kilda,1.27,-22.5,Round 16,2011-07-10
Etihad Stadium,Western Bulldogs,3.55,+22.5,Round 16,2011-07-10
Etihad Stadium,Carlton,1.30,-22.5,Round 16,2011-07-10
AAMI Stadium,Adelaide,2.09,+4.5,Round 17,2011-07-15
AAMI Stadium,Essendon,1.78,-4.5,Round 17,2011-07-15
Cazaly's Stadium,Richmond,1.16,-37.5,Round 17,2011-07-16
Cazaly's Stadium,Gold Coast,5.60,+37.5,Round 17,2011-07-16
MCG,Carlton,5.15,+35.5,Round 17,2011-07-16
